state,state_name,population,region,mmwr_year,mmwr_week,cases,tests,hosp,deaths_underlying_cause,deaths_multiple_causes,deaths_prov,series_complete,booster,bivalent
AK,Alaska,733391,10,2020,4,0,NA,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,5,0,NA,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,6,0,NA,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,7,0,NA,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,8,0,NA,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,9,0,NA,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,10,0,NA,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,11,0,14,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,12,11,144,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,13,52,968,NA,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,14,86,3334,NA,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,15,86,6284,NA,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,16,65,8038,NA,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,17,37,9895,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,18,18,16177,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,19,19,21578,NA,0,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,20,15,27364,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,21,15,34651,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,22,23,43507,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,23,91,51695,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,24,98,64904,NA,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,25,97,73467,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,26,108,88051,NA,0,0,0,NA,NA,NA
AK,Alaska,733391,10,2020,27,199,108300,NA,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,28,253,123753,NA,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,29,421,145475,NA,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,30,508,173010,NA,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,31,684,207264,NA,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,32,601,243090,28,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,33,491,277919,22,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,34,558,301515,31,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,35,465,327440,31,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,36,474,346839,35,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,37,547,387057,30,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,38,529,401213,38,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,39,642,426925,35,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,40,833,442869,33,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,41,1020,476818,38,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,42,1341,502997,62,NA,10,10,NA,NA,NA
AK,Alaska,733391,10,2020,43,1538,532711,54,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,44,2614,559969,69,NA,10,10,NA,NA,NA
AK,Alaska,733391,10,2020,45,2727,604207,91,NA,NA,NA,NA,NA,NA
AK,Alaska,733391,10,2020,46,3598,780174,121,15,16,16,NA,NA,NA
AK,Alaska,733391,10,2020,47,4316,867382,121,13,15,15,NA,NA,NA
AK,Alaska,733391,10,2020,48,4112,926361,154,16,21,21,NA,NA,NA
AK,Alaska,733391,10,2020,49,4524,1006180,134,29,31,31,NA,NA,NA
AK,Alaska,733391,10,2020,50,4622,1077776,102,22,24,24,NA,NA,NA
AK,Alaska,733391,10,2020,51,3417,1143098,100,19,20,20,46,0,0
AK,Alaska,733391,10,2020,52,2223,1196506,60,19,24,24,69,0,0
AK,Alaska,733391,10,2020,53,1724,1250251,69,10,10,10,114,0,0
AK,Alaska,733391,10,2021,1,2026,1293837,76,12,13,13,8396,0,0
AK,Alaska,733391,10,2021,2,1973,1352480,54,NA,NA,NA,13560,0,0
AK,Alaska,733391,10,2021,3,1377,1404756,35,NA,NA,NA,20111,0,0
AK,Alaska,733391,10,2021,4,1181,1453470,29,NA,NA,NA,30926,0,0
AK,Alaska,733391,10,2021,5,946,1500325,25,NA,NA,NA,54621,0,0
AK,Alaska,733391,10,2021,6,989,1536911,26,NA,NA,NA,82561,0,0
AK,Alaska,733391,10,2021,7,807,1584548,37,NA,NA,NA,103188,0,0
AK,Alaska,733391,10,2021,8,885,1629829,33,NA,NA,NA,119627,0,0
AK,Alaska,733391,10,2021,9,876,1679675,30,NA,NA,NA,142789,0,0
AK,Alaska,733391,10,2021,10,910,1731628,31,NA,NA,NA,159723,0,0
AK,Alaska,733391,10,2021,11,914,1780353,42,NA,NA,NA,175968,0,0
AK,Alaska,733391,10,2021,12,944,1824902,33,NA,NA,NA,193406,0,0
AK,Alaska,733391,10,2021,13,1186,1873407,45,NA,NA,NA,219138,0,0
AK,Alaska,733391,10,2021,14,1208,1919829,43,NA,NA,NA,252436,0,0
AK,Alaska,733391,10,2021,15,1113,1966048,33,NA,NA,NA,272790,0,0
AK,Alaska,733391,10,2021,16,1146,2009651,50,NA,NA,NA,285570,0,0
AK,Alaska,733391,10,2021,17,1042,2053055,48,NA,NA,NA,296198,0,0
AK,Alaska,733391,10,2021,18,731,2100065,33,12,13,13,305121,0,0
AK,Alaska,733391,10,2021,19,565,2141739,31,NA,10,10,313577,0,0
AK,Alaska,733391,10,2021,20,453,2193175,16,NA,NA,NA,320554,0,0
AK,Alaska,733391,10,2021,21,297,2224847,16,NA,NA,NA,326413,0,0
AK,Alaska,733391,10,2021,22,230,2262583,25,NA,NA,NA,335235,0,0
AK,Alaska,733391,10,2021,23,185,2290495,17,NA,NA,NA,344302,0,0
AK,Alaska,733391,10,2021,24,155,2316092,9,NA,NA,NA,350686,0,0
AK,Alaska,733391,10,2021,25,237,2333398,13,NA,NA,NA,355354,0,0
AK,Alaska,733391,10,2021,26,257,2166683,18,NA,NA,NA,359157,0,0
